bag_size,num_features,num_models,fold,accuracy_score
0.4,0.4,5,1,0.809375
0.4,0.4,5,2,0.804375
0.4,0.4,5,3,0.806875
0.4,0.4,5,4,0.814375
0.4,0.4,5,5,0.82625
0.4,0.4,10,1,0.8125
0.4,0.4,10,2,0.815
0.4,0.4,10,3,0.823125
0.4,0.4,10,4,0.82625
0.4,0.4,10,5,0.835
0.4,0.4,20,1,0.841875
0.4,0.4,20,2,0.838125
0.4,0.4,20,3,0.840625
0.4,0.4,20,4,0.84875
0.4,0.4,20,5,0.8525
0.4,0.4,50,1,0.86
0.4,0.4,50,2,0.85625
0.4,0.4,50,3,0.85375
0.4,0.4,50,4,0.854375
0.4,0.4,50,5,0.874375
0.4,0.4,100,1,0.86375
0.4,0.4,100,2,0.863125
0.4,0.4,100,3,0.860625
0.4,0.4,100,4,0.85625
0.4,0.4,100,5,0.88
0.4,0.5,5,1,0.834375
0.4,0.5,5,2,0.82375
0.4,0.5,5,3,0.8225
0.4,0.5,5,4,0.8275
0.4,0.5,5,5,0.828125
0.4,0.5,10,1,0.858125
0.4,0.5,10,2,0.845
0.4,0.5,10,3,0.8425
0.4,0.5,10,4,0.845
0.4,0.5,10,5,0.854375
0.4,0.5,20,1,0.86625
0.4,0.5,20,2,0.865
0.4,0.5,20,3,0.855
0.4,0.5,20,4,0.855
0.4,0.5,20,5,0.875625
0.4,0.5,50,1,0.8725
0.4,0.5,50,2,0.8675
0.4,0.5,50,3,0.870625
0.4,0.5,50,4,0.8575
0.4,0.5,50,5,0.88625
0.4,0.5,100,1,0.876875
0.4,0.5,100,2,0.87
0.4,0.5,100,3,0.871875
0.4,0.5,100,4,0.8625
0.4,0.5,100,5,0.8875
0.4,0.6,5,1,0.846875
0.4,0.6,5,2,0.8275
0.4,0.6,5,3,0.831875
0.4,0.6,5,4,0.8375
0.4,0.6,5,5,0.828125
0.4,0.6,10,1,0.87
0.4,0.6,10,2,0.863125
0.4,0.6,10,3,0.855
0.4,0.6,10,4,0.865
0.4,0.6,10,5,0.855625
0.4,0.6,20,1,0.876875
0.4,0.6,20,2,0.875
0.4,0.6,20,3,0.8675
0.4,0.6,20,4,0.870625
0.4,0.6,20,5,0.8725
0.4,0.6,50,1,0.874375
0.4,0.6,50,2,0.87125
0.4,0.6,50,3,0.870625
0.4,0.6,50,4,0.865625
0.4,0.6,50,5,0.888125
0.4,0.6,100,1,0.879375
0.4,0.6,100,2,0.87125
0.4,0.6,100,3,0.871875
0.4,0.6,100,4,0.866875
0.4,0.6,100,5,0.88125
0.4,0.7,5,1,0.846875
0.4,0.7,5,2,0.8275
0.4,0.7,5,3,0.831875
0.4,0.7,5,4,0.8375
0.4,0.7,5,5,0.828125
0.4,0.7,10,1,0.87
0.4,0.7,10,2,0.863125
0.4,0.7,10,3,0.855
0.4,0.7,10,4,0.865
0.4,0.7,10,5,0.855625
0.4,0.7,20,1,0.876875
0.4,0.7,20,2,0.875
0.4,0.7,20,3,0.8675
0.4,0.7,20,4,0.870625
0.4,0.7,20,5,0.8725
0.4,0.7,50,1,0.874375
0.4,0.7,50,2,0.87125
0.4,0.7,50,3,0.870625
0.4,0.7,50,4,0.865625
0.4,0.7,50,5,0.888125
0.4,0.7,100,1,0.879375
0.4,0.7,100,2,0.87125
0.4,0.7,100,3,0.871875
0.4,0.7,100,4,0.866875
0.4,0.7,100,5,0.88125
0.4,0.8,5,1,0.87125
0.4,0.8,5,2,0.86
0.4,0.8,5,3,0.85625
0.4,0.8,5,4,0.85875
0.4,0.8,5,5,0.85375
0.4,0.8,10,1,0.8725
0.4,0.8,10,2,0.8675
0.4,0.8,10,3,0.86125
0.4,0.8,10,4,0.863125
0.4,0.8,10,5,0.855625
