bag_size,num_features,num_models,fold,accuracy_score
0.4,0.4,5,1,0.820625
0.4,0.4,5,2,0.82
0.4,0.4,5,3,0.8325
0.4,0.4,5,4,0.8175
0.4,0.4,5,5,0.83375
0.4,0.4,10,1,0.855
0.4,0.4,10,2,0.849375
0.4,0.4,10,3,0.860625
0.4,0.4,10,4,0.8475
0.4,0.4,10,5,0.860625
0.4,0.4,20,1,0.89125
0.4,0.4,20,2,0.89125
0.4,0.4,20,3,0.871875
0.4,0.4,20,4,0.878125
0.4,0.4,20,5,0.891875
0.4,0.4,50,1,0.928125
0.4,0.4,50,2,0.91375
0.4,0.4,50,3,0.9075
0.4,0.4,50,4,0.909375
0.4,0.4,50,5,0.918125
0.4,0.4,100,1,0.936875
0.4,0.4,100,2,0.928125
0.4,0.4,100,3,0.9175
0.4,0.4,100,4,0.915625
0.4,0.4,100,5,0.93125
0.4,0.5,5,1,0.889375
0.4,0.5,5,2,0.8675
0.4,0.5,5,3,0.858125
0.4,0.5,5,4,0.85375
0.4,0.5,5,5,0.87625
0.4,0.5,10,1,0.929375
0.4,0.5,10,2,0.9125
0.4,0.5,10,3,0.904375
0.4,0.5,10,4,0.90125
0.4,0.5,10,5,0.911875
0.4,0.5,20,1,0.92625
0.4,0.5,20,2,0.921875
0.4,0.5,20,3,0.906875
0.4,0.5,20,4,0.905
0.4,0.5,20,5,0.9225
0.4,0.5,50,1,0.936875
0.4,0.5,50,2,0.9325
0.4,0.5,50,3,0.91875
0.4,0.5,50,4,0.9175
0.4,0.5,50,5,0.93875
0.4,0.5,100,1,0.95125
0.4,0.5,100,2,0.948125
0.4,0.5,100,3,0.935625
0.4,0.5,100,4,0.936875
0.4,0.5,100,5,0.94875
0.4,0.6,5,1,0.930625
0.4,0.6,5,2,0.91625
0.4,0.6,5,3,0.9075
0.4,0.6,5,4,0.911875
0.4,0.6,5,5,0.92
0.4,0.6,10,1,0.950625
0.4,0.6,10,2,0.940625
0.4,0.6,10,3,0.93
0.4,0.6,10,4,0.93875
0.4,0.6,10,5,0.95
0.4,0.6,20,1,0.959375
0.4,0.6,20,2,0.954375
0.4,0.6,20,3,0.943125
0.4,0.6,20,4,0.9475
0.4,0.6,20,5,0.954375
0.4,0.6,50,1,0.96
0.4,0.6,50,2,0.95125
0.4,0.6,50,3,0.944375
0.4,0.6,50,4,0.945
0.4,0.6,50,5,0.954375
0.4,0.6,100,1,0.966875
0.4,0.6,100,2,0.958125
0.4,0.6,100,3,0.9525
0.4,0.6,100,4,0.951875
0.4,0.6,100,5,0.956875
0.4,0.7,5,1,0.930625
0.4,0.7,5,2,0.91625
0.4,0.7,5,3,0.9075
0.4,0.7,5,4,0.911875
0.4,0.7,5,5,0.92
0.4,0.7,10,1,0.950625
0.4,0.7,10,2,0.940625
0.4,0.7,10,3,0.93
0.4,0.7,10,4,0.93875
0.4,0.7,10,5,0.95
0.4,0.7,20,1,0.959375
0.4,0.7,20,2,0.954375
0.4,0.7,20,3,0.943125
0.4,0.7,20,4,0.9475
0.4,0.7,20,5,0.954375
0.4,0.7,50,1,0.96
0.4,0.7,50,2,0.95125
0.4,0.7,50,3,0.944375
0.4,0.7,50,4,0.945
0.4,0.7,50,5,0.954375
0.4,0.7,100,1,0.966875
0.4,0.7,100,2,0.958125
0.4,0.7,100,3,0.9525
0.4,0.7,100,4,0.951875
0.4,0.7,100,5,0.956875
0.4,0.8,5,1,0.9675
0.4,0.8,5,2,0.9575
0.4,0.8,5,3,0.95625
0.4,0.8,5,4,0.95625
0.4,0.8,5,5,0.956875
0.4,0.8,10,1,0.961875
0.4,0.8,10,2,0.958125
0.4,0.8,10,3,0.95
0.4,0.8,10,4,0.960625
0.4,0.8,10,5,0.95375
0.4,0.8,20,1,0.964375
0.4,0.8,20,2,0.9625
0.4,0.8,20,3,0.958125
0.4,0.8,20,4,0.95875
0.4,0.8,20,5,0.960625
0.4,0.8,50,1,0.968125
0.4,0.8,50,2,0.96625
0.4,0.8,50,3,0.958125
0.4,0.8,50,4,0.961875
0.4,0.8,50,5,0.965625
0.4,0.8,100,1,0.97
0.4,0.8,100,2,0.9675
0.4,0.8,100,3,0.959375
0.4,0.8,100,4,0.961875
0.4,0.8,100,5,0.965
0.5,0.4,5,1,0.835
0.5,0.4,5,2,0.831875
0.5,0.4,5,3,0.825
0.5,0.4,5,4,0.82375
0.5,0.4,5,5,0.83875
0.5,0.4,10,1,0.868125
0.5,0.4,10,2,0.871875
0.5,0.4,10,3,0.8575
0.5,0.4,10,4,0.85375
0.5,0.4,10,5,0.87625
0.5,0.4,20,1,0.9075
0.5,0.4,20,2,0.90375
0.5,0.4,20,3,0.89
0.5,0.4,20,4,0.883125
0.5,0.4,20,5,0.900625
0.5,0.4,50,1,0.92
0.5,0.4,50,2,0.9125
0.5,0.4,50,3,0.9025
0.5,0.4,50,4,0.899375
0.5,0.4,50,5,0.924375
0.5,0.4,100,1,0.9275
0.5,0.4,100,2,0.92375
0.5,0.4,100,3,0.9175
0.5,0.4,100,4,0.916875
0.5,0.4,100,5,0.9325
0.5,0.5,5,1,0.903125
0.5,0.5,5,2,0.909375
0.5,0.5,5,3,0.90625
0.5,0.5,5,4,0.910625
0.5,0.5,5,5,0.90375
0.5,0.5,10,1,0.913125
0.5,0.5,10,2,0.914375
0.5,0.5,10,3,0.905625
