bag_size,num_features,num_models,fold,f1_score
0.4,0.4,5,1,0.9655172413793104
0.4,0.4,5,2,0.974025974025974
0.4,0.4,5,3,0.9452054794520548
0.4,0.4,5,4,0.9583333333333334
0.4,0.4,5,5,0.948905109489051
0.4,0.4,10,1,0.9655172413793104
0.4,0.4,10,2,0.9871794871794872
0.4,0.4,10,3,0.9659863945578231
0.4,0.4,10,4,0.9655172413793104
0.4,0.4,10,5,0.9640287769784173
0.4,0.4,20,1,0.9655172413793104
0.4,0.4,20,2,0.9935483870967742
0.4,0.4,20,3,0.9726027397260274
0.4,0.4,20,4,0.9722222222222222
0.4,0.4,20,5,0.9640287769784173
0.4,0.4,50,1,0.9722222222222222
0.4,0.4,50,2,0.987012987012987
0.4,0.4,50,3,0.9726027397260274
0.4,0.4,50,4,0.9726027397260274
0.4,0.4,50,5,0.9640287769784173
0.4,0.4,100,1,0.9655172413793104
0.4,0.4,100,2,0.987012987012987
0.4,0.4,100,3,0.9726027397260274
0.4,0.4,100,4,0.9726027397260274
0.4,0.4,100,5,0.9640287769784173
0.4,0.5,5,1,0.9722222222222222
0.4,0.5,5,2,0.9806451612903225
0.4,0.5,5,3,0.9655172413793104
0.4,0.5,5,4,0.9655172413793104
0.4,0.5,5,5,0.948905109489051
0.4,0.5,10,1,0.9655172413793104
0.4,0.5,10,2,0.9935483870967742
0.4,0.5,10,3,0.9659863945578231
0.4,0.5,10,4,0.9722222222222222
0.4,0.5,10,5,0.9565217391304348
0.4,0.5,20,1,0.9722222222222222
0.4,0.5,20,2,0.987012987012987
0.4,0.5,20,3,0.9659863945578231
0.4,0.5,20,4,0.9726027397260274
0.4,0.5,20,5,0.9640287769784173
0.4,0.5,50,1,0.9790209790209791
0.4,0.5,50,2,0.987012987012987
0.4,0.5,50,3,0.9793103448275862
0.4,0.5,50,4,0.9726027397260274
0.4,0.5,50,5,0.9640287769784173
0.4,0.5,100,1,0.9722222222222222
0.4,0.5,100,2,0.987012987012987
0.4,0.5,100,3,0.9793103448275862
0.4,0.5,100,4,0.9726027397260274
0.4,0.5,100,5,0.9640287769784173
0.4,0.6,5,1,0.9722222222222222
0.4,0.6,5,2,0.987012987012987
0.4,0.6,5,3,0.9583333333333334
0.4,0.6,5,4,0.9659863945578231
0.4,0.6,5,5,0.9558823529411765
0.4,0.6,10,1,0.9722222222222222
0.4,0.6,10,2,0.987012987012987
0.4,0.6,10,3,0.9726027397260274
0.4,0.6,10,4,0.9726027397260274
