bag_size,num_features,num_models,fold,f1_score
0.4,0.4,5,1,0.8598130841121496
0.4,0.4,5,2,0.88
0.4,0.4,5,3,0.8637316561844864
0.4,0.4,5,4,0.8693790149892933
0.4,0.4,5,5,0.8717948717948717
0.4,0.4,10,1,0.8605200945626477
0.4,0.4,10,2,0.9149797570850201
0.4,0.4,10,3,0.9057377049180327
0.4,0.4,10,4,0.8771929824561404
0.4,0.4,10,5,0.9069767441860465
0.4,0.4,20,1,0.8578199052132701
0.4,0.4,20,2,0.9105691056910569
0.4,0.4,20,3,0.9004149377593361
0.4,0.4,20,4,0.8941684665226781
0.4,0.4,20,5,0.9094412331406551
0.4,0.4,50,1,0.8632075471698114
0.4,0.4,50,2,0.8971193415637859
0.4,0.4,50,3,0.9004149377593361
0.4,0.4,50,4,0.9110169491525424
0.4,0.4,50,5,0.9142857142857143
0.4,0.4,100,1,0.8691588785046729
0.4,0.4,100,2,0.9065040650406505
0.4,0.4,100,3,0.9053497942386831
0.4,0.4,100,4,0.9090909090909091
0.4,0.4,100,5,0.9180952380952381
0.4,0.5,5,1,0.8677494199535962
0.4,0.5,5,2,0.9240000000000002
0.4,0.5,5,3,0.9120654396728016
0.4,0.5,5,4,0.8879310344827587
0.4,0.5,5,5,0.904854368932039
0.4,0.5,10,1,0.8665105386416861
0.4,0.5,10,2,0.9193548387096774
0.4,0.5,10,3,0.9117043121149897
0.4,0.5,10,4,0.8850325379609545
0.4,0.5,10,5,0.9132947976878613
0.4,0.5,20,1,0.8638497652582159
0.4,0.5,20,2,0.9171717171717172
0.4,0.5,20,3,0.9094650205761317
0.4,0.5,20,4,0.8941684665226781
0.4,0.5,20,5,0.9073359073359073
0.4,0.5,50,1,0.8638497652582159
0.4,0.5,50,2,0.9083503054989817
0.4,0.5,50,3,0.9094650205761317
0.4,0.5,50,4,0.9106382978723403
0.4,0.5,50,5,0.9166666666666667
0.4,0.5,100,1,0.8723897911832947
0.4,0.5,100,2,0.9156626506024096
0.4,0.5,100,3,0.9186991869918699
0.4,0.5,100,4,0.9129511677282378
0.4,0.5,100,5,0.9204545454545454
0.4,0.6,5,1,0.8685446009389671
0.4,0.6,5,2,0.9258517034068137
0.4,0.6,5,3,0.9274193548387097
0.4,0.6,5,4,0.8879310344827587
0.4,0.6,5,5,0.9111969111969112
0.4,0.6,10,1,0.8691588785046729
0.4,0.6,10,2,0.9261477045908185
0.4,0.6,10,3,0.9319999999999999
0.4,0.6,10,4,0.8993576017130622
0.4,0.6,10,5,0.9101338432122371
0.4,0.6,20,1,0.8697674418604652
0.4,0.6,20,2,0.9258517034068137
