bag_size,num_features,num_models,fold,f1_score
0.4,0.4,5,1,0.8524590163934426
0.4,0.4,5,2,0.8838174273858921
0.4,0.4,5,3,0.8613445378151261
0.4,0.4,5,4,0.8819875776397516
0.4,0.4,5,5,0.8998109640831758
0.4,0.4,10,1,0.8644859813084113
0.4,0.4,10,2,0.9171717171717172
0.4,0.4,10,3,0.9142857142857143
0.4,0.4,10,4,0.9014675052410902
0.4,0.4,10,5,0.9259962049335864
0.4,0.4,20,1,0.8665105386416861
0.4,0.4,20,2,0.9061224489795918
0.4,0.4,20,3,0.9049586776859504
0.4,0.4,20,4,0.8974358974358974
0.4,0.4,20,5,0.9198473282442748
0.4,0.4,50,1,0.8658823529411764
0.4,0.4,50,2,0.9061224489795918
0.4,0.4,50,3,0.9072164948453608
0.4,0.4,50,4,0.9094736842105264
0.4,0.4,50,5,0.9166666666666667
0.4,0.4,100,1,0.8671328671328671
0.4,0.4,100,2,0.9149797570850201
0.4,0.4,100,3,0.9161554192229039
0.4,0.4,100,4,0.9140461215932916
0.4,0.4,100,5,0.9204545454545454
0.4,0.5,5,1,0.8843537414965986
0.4,0.5,5,2,0.9196787148594378
0.4,0.5,5,3,0.9142857142857143
0.4,0.5,5,4,0.9061224489795918
0.4,0.5,5,5,0.931098696461825
0.4,0.5,10,1,0.8651162790697674
0.4,0.5,10,2,0.9215291750503019
0.4,0.5,10,3,0.9098360655737706
0.4,0.5,10,4,0.9022869022869024
0.4,0.5,10,5,0.9283018867924528
0.4,0.5,20,1,0.8697674418604652
0.4,0.5,20,2,0.9193548387096774
0.4,0.5,20,3,0.9161554192229039
0.4,0.5,20,4,0.9025423728813559
0.4,0.5,20,5,0.921904761904762
0.4,0.5,50,1,0.8697674418604652
0.4,0.5,50,2,0.9215291750503019
0.4,0.5,50,3,0.9161554192229039
0.4,0.5,50,4,0.9140461215932916
0.4,0.5,50,5,0.920754716981132
0.4,0.5,100,1,0.8750000000000001
0.4,0.5,100,2,0.9240000000000002
0.4,0.5,100,3,0.9205702647657842
0.4,0.5,100,4,0.9071729957805907
0.4,0.5,100,5,0.9222011385199242
0.4,0.6,5,1,0.8703703703703703
0.4,0.6,5,2,0.9267326732673267
0.4,0.6,5,3,0.9233870967741935
0.4,0.6,5,4,0.8987854251012146
0.4,0.6,5,5,0.9285714285714285
0.4,0.6,10,1,0.8703703703703703
0.4,0.6,10,2,0.9251968503937008
0.4,0.6,10,3,0.9175050301810865
0.4,0.6,10,4,0.9008264462809917
0.4,0.6,10,5,0.9328358208955224
0.4,0.6,20,1,0.8755760368663594
0.4,0.6,20,2,0.9203187250996016
0.4,0.6,20,3,0.9233870967741935
0.4,0.6,20,4,0.9037656903765692
0.4,0.6,20,5,0.9300567107750473
0.4,0.6,50,1,0.8781609195402299
0.4,0.6,50,2,0.9221556886227544
0.4,0.6,50,3,0.9255533199195172
0.4,0.6,50,4,0.9170124481327802
0.4,0.6,50,5,0.9250936329588015
0.4,0.6,100,1,0.8807339449541284
0.4,0.6,100,2,0.9249011857707509
0.4,0.6,100,3,0.9255533199195172
0.4,0.6,100,4,0.9170124481327802
0.4,0.6,100,5,0.923076923076923
0.4,0.7,5,1,0.8677494199535962
0.4,0.7,5,2,0.9288537549407115
0.4,0.7,5,3,0.9233870967741935
0.4,0.7,5,4,0.8987854251012146
0.4,0.7,5,5,0.9281767955801105
0.4,0.7,10,1,0.8729792147806005
