bag_size,num_features,num_models,fold,f1_score
0.4,0.4,5,1,0.8775510204081632
0.4,0.4,5,2,0.8712871287128713
0.4,0.4,5,3,0.8679245283018868
0.4,0.4,5,4,0.851063829787234
0.4,0.4,5,5,0.9230769230769231
0.4,0.4,10,1,0.86
0.4,0.4,10,2,0.88
0.4,0.4,10,3,0.8518518518518519
0.4,0.4,10,4,0.8602150537634409
0.4,0.4,10,5,0.912621359223301
0.4,0.4,20,1,0.8686868686868687
0.4,0.4,20,2,0.88
0.4,0.4,20,3,0.8703703703703703
0.4,0.4,20,4,0.8695652173913043
0.4,0.4,20,5,0.912621359223301
0.4,0.4,50,1,0.86
0.4,0.4,50,2,0.8712871287128713
0.4,0.4,50,3,0.897196261682243
0.4,0.4,50,4,0.8695652173913043
0.4,0.4,50,5,0.912621359223301
0.4,0.4,100,1,0.86
0.4,0.4,100,2,0.8888888888888888
0.4,0.4,100,3,0.8679245283018868
0.4,0.4,100,4,0.8602150537634409
0.4,0.4,100,5,0.912621359223301
0.4,0.5,5,1,0.86
0.4,0.5,5,2,0.8627450980392157
0.4,0.5,5,3,0.8679245283018868
0.4,0.5,5,4,0.8421052631578947
0.4,0.5,5,5,0.9215686274509803
0.4,0.5,10,1,0.8775510204081632
0.4,0.5,10,2,0.88
0.4,0.5,10,3,0.8490566037735849
0.4,0.5,10,4,0.851063829787234
0.4,0.5,10,5,0.912621359223301
0.4,0.5,20,1,0.8686868686868687
0.4,0.5,20,2,0.8712871287128713
0.4,0.5,20,3,0.8785046728971962
0.4,0.5,20,4,0.8602150537634409
0.4,0.5,20,5,0.912621359223301
0.4,0.5,50,1,0.86
0.4,0.5,50,2,0.88
0.4,0.5,50,3,0.8679245283018868
0.4,0.5,50,4,0.8695652173913043
0.4,0.5,50,5,0.912621359223301
0.4,0.5,100,1,0.86
0.4,0.5,100,2,0.88
0.4,0.5,100,3,0.8867924528301887
0.4,0.5,100,4,0.8695652173913043
0.4,0.5,100,5,0.9230769230769231
0.4,0.6,5,1,0.8686868686868687
0.4,0.6,5,2,0.88
0.4,0.6,5,3,0.8703703703703703
0.4,0.6,5,4,0.851063829787234
0.4,0.6,5,5,0.9215686274509803
0.4,0.6,10,1,0.8775510204081632
0.4,0.6,10,2,0.8888888888888888
0.4,0.6,10,3,0.8761904761904762
0.4,0.6,10,4,0.851063829787234
0.4,0.6,10,5,0.912621359223301
0.4,0.6,20,1,0.8686868686868687
0.4,0.6,20,2,0.88
0.4,0.6,20,3,0.8888888888888888
0.4,0.6,20,4,0.851063829787234
0.4,0.6,20,5,0.912621359223301
0.4,0.6,50,1,0.86
0.4,0.6,50,2,0.8888888888888888
0.4,0.6,50,3,0.8888888888888888
0.4,0.6,50,4,0.8695652173913043
0.4,0.6,50,5,0.912621359223301
0.4,0.6,100,1,0.8686868686868687
0.4,0.6,100,2,0.8888888888888888
0.4,0.6,100,3,0.8952380952380953
0.4,0.6,100,4,0.8695652173913043
0.4,0.6,100,5,0.9230769230769231
0.4,0.7,5,1,0.86
0.4,0.7,5,2,0.88
0.4,0.7,5,3,0.897196261682243
0.4,0.7,5,4,0.851063829787234
0.4,0.7,5,5,0.912621359223301
0.4,0.7,10,1,0.8775510204081632
0.4,0.7,10,2,0.88
0.4,0.7,10,3,0.8867924528301887
0.4,0.7,10,4,0.8695652173913043
0.4,0.7,10,5,0.912621359223301
0.4,0.7,20,1,0.8686868686868687
0.4,0.7,20,2,0.8888888888888888
0.4,0.7,20,3,0.8888888888888888
0.4,0.7,20,4,0.851063829787234
0.4,0.7,20,5,0.912621359223301
0.4,0.7,50,1,0.8686868686868687
0.4,0.7,50,2,0.8888888888888888
0.4,0.7,50,3,0.8867924528301887
0.4,0.7,50,4,0.8791208791208791
0.4,0.7,50,5,0.9320388349514563
0.4,0.7,100,1,0.8686868686868687
0.4,0.7,100,2,0.8888888888888888
0.4,0.7,100,3,0.8761904761904762
0.4,0.7,100,4,0.8888888888888888
0.4,0.7,100,5,0.9230769230769231
0.4,0.8,5,1,0.8686868686868687
0.4,0.8,5,2,0.8979591836734694
0.4,0.8,5,3,0.897196261682243
0.4,0.8,5,4,0.851063829787234
0.4,0.8,5,5,0.912621359223301
0.4,0.8,10,1,0.8686868686868687
0.4,0.8,10,2,0.8712871287128713
0.4,0.8,10,3,0.8867924528301887
0.4,0.8,10,4,0.8695652173913043
0.4,0.8,10,5,0.912621359223301
0.4,0.8,20,1,0.8686868686868687
0.4,0.8,20,2,0.8888888888888888
0.4,0.8,20,3,0.897196261682243
0.4,0.8,20,4,0.8602150537634409
0.4,0.8,20,5,0.912621359223301
0.4,0.8,50,1,0.8686868686868687
0.4,0.8,50,2,0.8888888888888888
0.4,0.8,50,3,0.8867924528301887
0.4,0.8,50,4,0.8888888888888888
0.4,0.8,50,5,0.9320388349514563
0.4,0.8,100,1,0.8686868686868687
0.4,0.8,100,2,0.8888888888888888
0.4,0.8,100,3,0.8952380952380953
0.4,0.8,100,4,0.8888888888888888
0.4,0.8,100,5,0.9230769230769231
0.5,0.4,5,1,0.8865979381443299
0.5,0.4,5,2,0.8712871287128713
0.5,0.4,5,3,0.8727272727272727
0.5,0.4,5,4,0.851063829787234
0.5,0.4,5,5,0.9142857142857143
0.5,0.4,10,1,0.8686868686868687
0.5,0.4,10,2,0.8627450980392157
0.5,0.4,10,3,0.8807339449541285
0.5,0.4,10,4,0.8695652173913043
0.5,0.4,10,5,0.912621359223301
0.5,0.4,20,1,0.8686868686868687
0.5,0.4,20,2,0.88
0.5,0.4,20,3,0.8703703703703703
0.5,0.4,20,4,0.8791208791208791
0.5,0.4,20,5,0.912621359223301
0.5,0.4,50,1,0.8686868686868687
0.5,0.4,50,2,0.88
0.5,0.4,50,3,0.8761904761904762
0.5,0.4,50,4,0.8791208791208791
0.5,0.4,50,5,0.912621359223301
0.5,0.4,100,1,0.86
0.5,0.4,100,2,0.8888888888888888
