bag_size,num_features,num_models,fold,f1_score
0.4,0.4,5,1,0.8865979381443299
0.4,0.4,5,2,0.8737864077669902
0.4,0.4,5,3,0.9056603773584906
0.4,0.4,5,4,0.8791208791208791
0.4,0.4,5,5,0.9230769230769231
0.4,0.4,10,1,0.8686868686868687
0.4,0.4,10,2,0.9278350515463918
0.4,0.4,10,3,0.9158878504672897
0.4,0.4,10,4,0.8888888888888888
0.4,0.4,10,5,0.9320388349514563
0.4,0.4,20,1,0.8686868686868687
0.4,0.4,20,2,0.9072164948453608
0.4,0.4,20,3,0.9074074074074074
0.4,0.4,20,4,0.8695652173913043
0.4,0.4,20,5,0.9230769230769231
0.4,0.4,50,1,0.8775510204081632
0.4,0.4,50,2,0.9361702127659575
0.4,0.4,50,3,0.9245283018867925
0.4,0.4,50,4,0.8791208791208791
0.4,0.4,50,5,0.9320388349514563
0.4,0.4,100,1,0.8686868686868687
0.4,0.4,100,2,0.9263157894736842
0.4,0.4,100,3,0.9245283018867925
0.4,0.4,100,4,0.8791208791208791
0.4,0.4,100,5,0.9230769230769231
0.4,0.5,5,1,0.9052631578947369
0.4,0.5,5,2,0.9072164948453608
0.4,0.5,5,3,0.9056603773584906
0.4,0.5,5,4,0.8791208791208791
0.4,0.5,5,5,0.9320388349514563
0.4,0.5,10,1,0.9052631578947369
0.4,0.5,10,2,0.9166666666666666
0.4,0.5,10,3,0.9056603773584906
0.4,0.5,10,4,0.9090909090909091
0.4,0.5,10,5,0.9411764705882353
0.4,0.5,20,1,0.9148936170212766
0.4,0.5,20,2,0.946236559139785
0.4,0.5,20,3,0.9142857142857143
0.4,0.5,20,4,0.898876404494382
0.4,0.5,20,5,0.9504950495049505
0.4,0.5,50,1,0.9052631578947369
0.4,0.5,50,2,0.946236559139785
0.4,0.5,50,3,0.9142857142857143
0.4,0.5,50,4,0.9090909090909091
0.4,0.5,50,5,0.9504950495049505
0.4,0.5,100,1,0.9052631578947369
0.4,0.5,100,2,0.9361702127659575
0.4,0.5,100,3,0.9142857142857143
0.4,0.5,100,4,0.9090909090909091
0.4,0.5,100,5,0.9504950495049505
0.4,0.6,5,1,0.8958333333333334
0.4,0.6,5,2,0.9278350515463918
0.4,0.6,5,3,0.9230769230769231
0.4,0.6,5,4,0.898876404494382
0.4,0.6,5,5,0.9320388349514563
0.4,0.6,10,1,0.9148936170212766
0.4,0.6,10,2,0.9263157894736842
0.4,0.6,10,3,0.9056603773584906
0.4,0.6,10,4,0.9090909090909091
0.4,0.6,10,5,0.9320388349514563
0.4,0.6,20,1,0.9247311827956989
0.4,0.6,20,2,0.946236559139785
0.4,0.6,20,3,0.9142857142857143
0.4,0.6,20,4,0.9090909090909091
0.4,0.6,20,5,0.9504950495049505
0.4,0.6,50,1,0.8958333333333334
0.4,0.6,50,2,0.946236559139785
0.4,0.6,50,3,0.9142857142857143
0.4,0.6,50,4,0.898876404494382
0.4,0.6,50,5,0.9411764705882353
0.4,0.6,100,1,0.8958333333333334
0.4,0.6,100,2,0.946236559139785
0.4,0.6,100,3,0.9142857142857143
0.4,0.6,100,4,0.898876404494382
